,original_statement,final_statement,Counseling Request,selected_for_finalized
372,I'm vexed by the constant changes.,I'm vexed by the constant changes.,Affect-Containing Declarative Statements - Clearly Angry,True
300,I was fuming after that argument.,I was fuming after that argument.,Affect-Containing Declarative Statements - Clearly Angry,True
374,I'm enraged by the cruelty shown.,I'm enraged by the cruelty shown.,Affect-Containing Declarative Statements - Clearly Angry,True
331,This poor service has made me quite angry.,This poor service has made me quite angry.,Affect-Containing Declarative Statements - Clearly Angry,True
382,I'm peeved about the schedule change.,I'm peeved about the schedule change.,Affect-Containing Declarative Statements - Clearly Angry,True
351,The faulty equipment is a source of constant frustration.,The faulty equipment is a source of constant frustration.,Affect-Containing Declarative Statements - Clearly Angry,True
1163,I'm absolutely livid about the lack of communication.,I'm absolutely livid about the lack of communication.,Affect-Containing Declarative Statements - Clearly Angry,True
349,This bureaucratic red tape is maddening.,This bureaucratic red tape is maddening.,Affect-Containing Declarative Statements - Clearly Angry,True
338,I'm peeved about the sudden change of plans.,I'm peeved about the sudden change of plans.,Affect-Containing Declarative Statements - Clearly Angry,True
345,"This wrong order is the last straw, I'm furious.","This wrong order is the last straw, I'm furious.",Affect-Containing Declarative Statements - Clearly Angry,True
362,I'm simmering with anger over the decision.,I'm simmering with anger over the decision.,Affect-Containing Declarative Statements - Clearly Angry,True
475,How many time zones are there in Russia?,How many time zones are there in Russia?,Neutral Non-Therapeutic Questions,True
445,How do I reset my router?,How do I reset my router?,Neutral Non-Therapeutic Questions,True
462,Where can I buy stamps?,Where can I buy stamps?,Neutral Non-Therapeutic Questions,True
437,What is the process for renewing my driver's license?,What is the process for renewing my driver's license?,Neutral Non-Therapeutic Questions,True
436,How many calories are in an apple?,How many calories are in an apple?,Neutral Non-Therapeutic Questions,True
431,How do I take a screenshot on this device?,How do I take a screenshot on this device?,Neutral Non-Therapeutic Questions,True
414,How tall is the Eiffel Tower?,How tall is the Eiffel Tower?,Neutral Non-Therapeutic Questions,True
472,Where did I park my car?,Where did I park my car?,Neutral Non-Therapeutic Questions,True
402,Can you find directions to the museum?,Can you find directions to the museum?,Neutral Non-Therapeutic Questions,True
392,What time does the next train arrive?,What time does the next train arrive?,Neutral Non-Therapeutic Questions,True
410,What is the population of Chicago?,What is the population of Chicago?,Neutral Non-Therapeutic Questions,True
422,Where is the nearest post office located?,Where is the nearest post office located?,Neutral Non-Therapeutic Questions,True
465,How do I change the oil in my car?,How do I change the oil in my car?,Neutral Non-Therapeutic Questions,True
425,Can you add milk to my shopping list?,Can you add milk to my shopping list?,Neutral Non-Therapeutic Questions,True
482,Where is the closest hardware store?,Where is the closest hardware store?,Neutral Non-Therapeutic Questions,True
396,How do I spell 'necessary'?,How do I spell 'necessary'?,Neutral Non-Therapeutic Questions,True
468,What is the difference between weather and climate?,What is the difference between weather and climate?,Neutral Non-Therapeutic Questions,True
469,Can you read my last email?,Can you read my last email?,Neutral Non-Therapeutic Questions,True
404,How many ounces are in a pound?,How many ounces are in a pound?,Neutral Non-Therapeutic Questions,True
423,How many planets are in our solar system?,How many planets are in our solar system?,Neutral Non-Therapeutic Questions,True
447,Where is my phone?,Where is my phone?,Neutral Non-Therapeutic Questions,True
480,How do I file my taxes online?,How do I file my taxes online?,Neutral Non-Therapeutic Questions,True
418,How do I change my password?,How do I change my password?,Neutral Non-Therapeutic Questions,True
434,What is the current time in Tokyo?,What is the current time in Tokyo?,Neutral Non-Therapeutic Questions,True
461,What is the process of photosynthesis?,What is the process of photosynthesis?,Neutral Non-Therapeutic Questions,True
407,Can you look up the definition of 'ephemeral'?,Can you look up the definition of 'ephemeral'?,Neutral Non-Therapeutic Questions,True
432,What is the main function of the mitochondria?,What is the main function of the mitochondria?,Neutral Non-Therapeutic Questions,True
488,What is the purpose of the United Nations?,What is the purpose of the United Nations?,Neutral Non-Therapeutic Questions,True
401,What is the phone number for the library?,What is the phone number for the library?,Neutral Non-Therapeutic Questions,True
464,Can you translate 'hello' into Spanish?,Can you translate 'hello' into Spanish?,Neutral Non-Therapeutic Questions,True
403,What is the capital of Australia?,What is the capital of Australia?,Neutral Non-Therapeutic Questions,True
439,What are the primary colors?,What are the primary colors?,Neutral Non-Therapeutic Questions,True
477,Where is the remote control?,Where is the remote control?,Neutral Non-Therapeutic Questions,True
420,Can you check the traffic on my commute route?,Can you check the traffic on my commute route?,Neutral Non-Therapeutic Questions,True
485,How do I backup my files?,How do I backup my files?,Neutral Non-Therapeutic Questions,True
397,What was the title of the book I mentioned last week?,What was the title of the book I mentioned last week?,Neutral Non-Therapeutic Questions,True
458,What is the recommended daily intake of Vitamin C?,What is the recommended daily intake of Vitamin C?,Neutral Non-Therapeutic Questions,True
457,Where is my meeting link?,Where is my meeting link?,Neutral Non-Therapeutic Questions,True
427,How long does it take to fly from New York to London?,How long does it take to fly from New York to London?,Neutral Non-Therapeutic Questions,True
408,What are the store hours today?,What are the store hours today?,Neutral Non-Therapeutic Questions,True
441,What is the distance to the moon?,What is the distance to the moon?,Neutral Non-Therapeutic Questions,True
426,What is the chemical symbol for Gold?,What is the chemical symbol for Gold?,Neutral Non-Therapeutic Questions,True
399,What are the ingredients needed for this recipe?,What are the ingredients needed for this recipe?,Neutral Non-Therapeutic Questions,True
487,Where did I leave my glasses?,Where did I leave my glasses?,Neutral Non-Therapeutic Questions,True
419,What is the boiling point of water in Fahrenheit?,What is the boiling point of water in Fahrenheit?,Neutral Non-Therapeutic Questions,True
411,Can you tell me the status of my order?,Can you tell me the status of my order?,Neutral Non-Therapeutic Questions,True
473,What is the purpose of a firewall?,What is the purpose of a firewall?,Neutral Non-Therapeutic Questions,True
417,What movies are playing at the local theater?,What movies are playing at the local theater?,Neutral Non-Therapeutic Questions,True
454,Can you play some classical music?,Can you play some classical music?,Neutral Non-Therapeutic Questions,True
405,Do you know the wifi password?,Do you know the wifi password?,Neutral Non-Therapeutic Questions,True
416,Can you set a timer for 15 minutes?,Can you set a timer for 15 minutes?,Neutral Non-Therapeutic Questions,True
395,What is the current temperature outside?,What is the current temperature outside?,Neutral Non-Therapeutic Questions,True
409,How do I update my software?,How do I update my software?,Neutral Non-Therapeutic Questions,True
430,What is the meaning of the acronym 'NASA'?,What is the meaning of the acronym 'NASA'?,Neutral Non-Therapeutic Questions,True
400,When is the deadline for this project?,When is the deadline for this project?,Neutral Non-Therapeutic Questions,True
470,How do you tie a bow tie?,How do you tie a bow tie?,Neutral Non-Therapeutic Questions,True
398,Can you convert 50 miles to kilometers?,Can you convert 50 miles to kilometers?,Neutral Non-Therapeutic Questions,True
456,What is the capital of Canada?,What is the capital of Canada?,Neutral Non-Therapeutic Questions,True
428,What is the date of the next public holiday?,What is the date of the next public holiday?,Neutral Non-Therapeutic Questions,True
481,What is the main ingredient in guacamole?,What is the main ingredient in guacamole?,Neutral Non-Therapeutic Questions,True
448,What is the scientific name for a dog?,What is the scientific name for a dog?,Neutral Non-Therapeutic Questions,True
1161,Where can I find the nearest hardware store?,Where can I find the nearest hardware store?,Neutral Non-Therapeutic Questions,True
446,What is the official currency of Japan?,What is the official currency of Japan?,Neutral Non-Therapeutic Questions,True
435,Can you tell me the score of the game last night?,Can you tell me the score of the game last night?,Neutral Non-Therapeutic Questions,True
442,Where did I put my keys?,Where did I put my keys?,Neutral Non-Therapeutic Questions,True
551,I'm so excited for the holidays! When does the Christmas market open?,I'm so excited for the holidays! When does the Christmas market open?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
529,I'm overjoyed by the birth announcement! Where can I buy a nice baby gift?,I'm overjoyed by the birth announcement! Where can I buy a nice baby gift?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
1187,I'm thrilled about the invitation! What is the address for the event?,I'm thrilled about the invitation! What is the address for the event?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
507,I feel so refreshed after a good night's sleep! What's on the agenda for today?,I feel so refreshed after a good night's sleep! What's on the agenda for today?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
1189,I'm overjoyed about the reunion! What year did we last see each other?,I'm overjoyed about the reunion! What year did we last see each other?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
574,Feeling wonderfully inspired! What are some famous artists from the Renaissance?,Feeling wonderfully inspired! What are some famous artists from the Renaissance?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
553,I'm overjoyed by the scholarship offer! What's the deadline to accept?,I'm overjoyed by the scholarship offer! What's the deadline to accept?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
531,I'm thrilled we reached our goal! How should we document this achievement?,I'm thrilled we reached our goal! How should we document this achievement?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
499,I'm ecstatic that my offer on the house was accepted! What's the first step in the closing process?,I'm ecstatic that my offer on the house was accepted! What's the first step in the closing process?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
489,I'm so thrilled about my promotion! What's a good restaurant to celebrate at?,I'm so thrilled about my promotion! What's a good restaurant to celebrate at?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
520,"This feels like a huge win, I'm overjoyed! What should we do to celebrate tonight?","This feels like a huge win, I'm overjoyed! What should we do to celebrate tonight?",Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
565,I'm delighted with the discount I received! How long is the sale on for?,I'm delighted with the discount I received! How long is the sale on for?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
536,This delicious meal is making me very content! Can you find the recipe?,This delicious meal is making me very content! Can you find the recipe?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
515,Feeling wonderfully relaxed on this day off! Are there any good books you'd recommend?,Feeling wonderfully relaxed on this day off! Are there any good books you'd recommend?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
533,I'm elated about getting into my dream school! What do I need to do to enroll?,I'm elated about getting into my dream school! What do I need to do to enroll?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
493,I'm overjoyed with my new puppy! Where is the nearest pet supply store?,I'm overjoyed with my new puppy! Where is the nearest pet supply store?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
511,Feeling great after that run! How many calories did I likely burn?,Feeling great after that run! How many calories did I likely burn?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
501,I'm so pleased with how the garden looks! What kind of flowers bloom in the fall?,I'm so pleased with how the garden looks! What kind of flowers bloom in the fall?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
578,Feeling very grateful today! How do you say 'thank you' in Japanese?,Feeling very grateful today! How do you say 'thank you' in Japanese?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
562,Feeling wonderful after helping my neighbor! What's a simple way to volunteer?,Feeling wonderful after helping my neighbor! What's a simple way to volunteer?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
538,Feeling so energized after that coffee! What's the next task on my list?,Feeling so energized after that coffee! What's the next task on my list?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
559,I'm thrilled my team won! What was the final score?,I'm thrilled my team won! What was the final score?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
557,I'm elated about the arrival of spring! What flowers are currently in season?,I'm elated about the arrival of spring! What flowers are currently in season?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
504,Feeling so optimistic today! What are some volunteer opportunities in the area?,Feeling so optimistic today! What are some volunteer opportunities in the area?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
528,This breakthrough is fantastic! What's the next step in the research process?,This breakthrough is fantastic! What's the next step in the research process?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
522,Feeling so much joy right now! Can you play some upbeat music?,Feeling so much joy right now! Can you play some upbeat music?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
498,I feel incredibly content after that yoga class. Can you play some relaxing music?,I feel incredibly content after that yoga class. Can you play some relaxing music?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
570,Feeling incredibly content with a good book. Who wrote 'To Kill a Mockingbird'?,Feeling incredibly content with a good book. Who wrote 'To Kill a Mockingbird'?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
500,"This sunny day is perfect, I'm so cheerful! Are there any farmer's markets nearby?","This sunny day is perfect, I'm so cheerful! Are there any farmer's markets nearby?",Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
554,Feeling incredibly motivated today! What's a good productivity technique?,Feeling incredibly motivated today! What's a good productivity technique?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
1186,This perfect weather makes me happy! Are there any outdoor concerts today?,This perfect weather makes me happy! Are there any outdoor concerts today?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
519,I'm so pleased that the repairs worked! How do I prevent this issue in the future?,I'm so pleased that the repairs worked! How do I prevent this issue in the future?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
517,"This is cause for celebration, I'm ecstatic! How do you make a good toast?","This is cause for celebration, I'm ecstatic! How do you make a good toast?",Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
579,I'm so happy I finished the marathon! What's the world record time?,I'm so happy I finished the marathon! What's the world record time?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
494,"This vacation is exactly what I needed, I feel fantastic! What are some fun local attractions?","This vacation is exactly what I needed, I feel fantastic! What are some fun local attractions?",Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
534,Feeling wonderfully creative today! Can you give me a writing prompt?,Feeling wonderfully creative today! Can you give me a writing prompt?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
558,Feeling so good about donating blood! Where can I find information about the next blood drive?,Feeling so good about donating blood! Where can I find information about the next blood drive?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
524,This positive feedback is amazing! How can I share this success with my team?,This positive feedback is amazing! How can I share this success with my team?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
505,I'm thrilled to be starting my new job! What's the best route to take for my commute?,I'm thrilled to be starting my new job! What's the best route to take for my commute?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
561,I'm so pleased with this outcome! How can we build on this success?,I'm so pleased with this outcome! How can we build on this success?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
523,I'm thrilled to have tickets to the game! What time should we leave to avoid traffic?,I'm thrilled to have tickets to the game! What time should we leave to avoid traffic?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
496,"That was the best concert ever, I'm still feeling the energy! What time is it?","That was the best concert ever, I'm still feeling the energy! What time is it?",Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
544,This beautiful music is making me so happy! Who is the composer?,This beautiful music is making me so happy! Who is the composer?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
516,I'm so grateful for this beautiful morning! What time does the bakery open?,I'm so grateful for this beautiful morning! What time does the bakery open?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
508,I'm overjoyed to see my family this weekend! What's the weather forecast?,I'm overjoyed to see my family this weekend! What's the weather forecast?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
569,I'm thrilled to have found my lost keys! Where should I keep a spare set?,I'm thrilled to have found my lost keys! Where should I keep a spare set?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
514,I'm thrilled with my haircut! Where can I leave a good review for the stylist?,I'm thrilled with my haircut! Where can I leave a good review for the stylist?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
542,Feeling incredibly grateful for my friends! What's a nice way to show appreciation?,Feeling incredibly grateful for my friends! What's a nice way to show appreciation?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
502,It's wonderful to finally finish this project! What's a good way to unwind?,It's wonderful to finally finish this project! What's a good way to unwind?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
513,This success is exhilarating! What's the next big challenge I should tackle?,This success is exhilarating! What's the next big challenge I should tackle?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
492,What a wonderful surprise visit! How long does it take to drive to the beach from here?,What a wonderful surprise visit! How long does it take to drive to the beach from here?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
506,"This is fantastic news, I'm beaming! Can you find a recipe for celebration cake?","This is fantastic news, I'm beaming! Can you find a recipe for celebration cake?",Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
527,I'm ecstatic about my upcoming anniversary! Can you find some romantic dinner recipes?,I'm ecstatic about my upcoming anniversary! Can you find some romantic dinner recipes?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
497,I'm so proud of my kid's grades! Where can we go for ice cream to celebrate?,I'm so proud of my kid's grades! Where can we go for ice cream to celebrate?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
566,Feeling really positive after that meeting! What action items do I need to follow up on?,Feeling really positive after that meeting! What action items do I need to follow up on?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
495,I'm buzzing with excitement for the party tonight! What's the dress code again?,I'm buzzing with excitement for the party tonight! What's the dress code again?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
568,This sunny weather is perfect! Are there any outdoor cafes nearby?,This sunny weather is perfect! Are there any outdoor cafes nearby?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
525,I'm so happy with this purchase! What accessories go well with it?,I'm so happy with this purchase! What accessories go well with it?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
1183,I'm ecstatic about the results! What's the best way to share this news?,I'm ecstatic about the results! What's the best way to share this news?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
545,I'm thrilled with the election results! When is the inauguration?,I'm thrilled with the election results! When is the inauguration?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
1190,This successful collaboration is fantastic! Where should we go for a team lunch?,This successful collaboration is fantastic! Where should we go for a team lunch?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
543,I'm ecstatic about the successful event! Where can we post the photos?,I'm ecstatic about the successful event! Where can we post the photos?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
532,This beautiful sunset is making me feel peaceful and happy. What time is moonrise?,This beautiful sunset is making me feel peaceful and happy. What time is moonrise?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
539,I'm so pleased with the friendly service here! How can I leave a tip?,I'm so pleased with the friendly service here! How can I leave a tip?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
555,I'm so happy with how the photos turned out! Where can I get them printed?,I'm so happy with how the photos turned out! Where can I get them printed?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,True
1193,I'm heartbroken and need a distraction; what are the showtimes for that new animated movie?,I'm heartbroken and need a distraction; what are the showtimes for that new animated movie?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
581,I'm feeling so down today; what's the point of even checking the weather?,I'm feeling so down today; what's the point of even checking the weather?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
660,This disappointment cuts deep. Can you find me a recipe for something sweet?,This disappointment cuts deep. Can you find me a recipe for something sweet?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
606,I feel defeated. What are the odds of winning the lottery?,I feel defeated. What are the odds of winning the lottery?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
595,This emptiness is overwhelming. What's the plot of that really sad movie everyone talks about?,This emptiness is overwhelming. What's the plot of that really sad movie everyone talks about?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
1197,Feeling dejected after the interview; what are some common job search websites?,Feeling dejected after the interview; what are some common job search websites?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
593,Feeling so isolated. What time does the last train leave?,Feeling so isolated. What time does the last train leave?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
601,This sadness feels heavy. What's the weight limit for this old bridge?,This sadness feels heavy. What's the weight limit for this old bridge?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
586,I'm so disappointed in myself. What's the easiest way to delete my social media accounts?,I'm so disappointed in myself. What's the easiest way to delete my social media accounts?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
658,This news is crushing. How do you arrange a funeral?,This news is crushing. How do you arrange a funeral?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
626,I feel hopeless. What are the warning signs of a stroke?,I feel hopeless. What are the warning signs of a stroke?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
634,This dreary day matches my mood. What's the forecast for tomorrow?,This dreary day matches my mood. What's the forecast for tomorrow?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
621,Feeling dejected. How do you cancel a subscription?,Feeling dejected. How do you cancel a subscription?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
667,Feeling very low. What's the phone number for my insurance company?,Feeling very low. What's the phone number for my insurance company?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
645,I'm mourning the relationship. How do you change your relationship status online?,I'm mourning the relationship. How do you change your relationship status online?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
644,This sadness feels endless. How long is the Great Wall of China?,This sadness feels endless. How long is the Great Wall of China?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
618,I'm feeling very blue. What color is cyan?,I'm feeling very blue. What color is cyan?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
1192,This sadness is making it hard to focus; can you find a simple puzzle or game?,This sadness is making it hard to focus; can you find a simple puzzle or game?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
628,This loneliness hurts. What's the population of Antarctica?,This loneliness hurts. What's the population of Antarctica?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
636,Feeling terribly alone. Are there any support groups for this?,Feeling terribly alone. Are there any support groups for this?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
594,I'm crushed by this setback. How do you file for unemployment?,I'm crushed by this setback. How do you file for unemployment?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
615,This news is devastating. How do you write an obituary?,This news is devastating. How do you write an obituary?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
625,This is heartbreaking. Where can I donate clothes?,This is heartbreaking. Where can I donate clothes?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
613,Feeling incredibly low. What's the number for the pharmacy?,Feeling incredibly low. What's the number for the pharmacy?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
592,I'm miserable about this situation. What's the refund policy for this purchase?,I'm miserable about this situation. What's the refund policy for this purchase?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
654,This heavy heart won't lift. How much does a human heart weigh?,This heavy heart won't lift. How much does a human heart weigh?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
587,Feeling utterly dejected. How many calories are in a pint of ice cream?,Feeling utterly dejected. How many calories are in a pint of ice cream?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
631,This grief is heavy. What's the specific gravity of lead?,This grief is heavy. What's the specific gravity of lead?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
616,I feel utterly alone. What time does the sun rise tomorrow?,I feel utterly alone. What time does the sun rise tomorrow?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
619,This loss feels immense. How big is the universe?,This loss feels immense. How big is the universe?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
630,Feeling utterly lost. Can you give me directions home?,Feeling utterly lost. Can you give me directions home?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
1199,I'm just feeling really down; can you play some instrumental music?,I'm just feeling really down; can you play some instrumental music?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
599,Feeling so discouraged. How long does it typically take to find a new job?,Feeling so discouraged. How long does it typically take to find a new job?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
657,I'm so sad about leaving. What's the cost of shipping boxes internationally?,I'm so sad about leaving. What's the cost of shipping boxes internationally?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
590,Feeling profoundly sad. How do you block someone's number?,Feeling profoundly sad. How do you block someone's number?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
661,I'm feeling very sorrowful. What does 'melancholy' mean?,I'm feeling very sorrowful. What does 'melancholy' mean?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
646,Feeling very gloomy. Can you play some sad classical music?,Feeling very gloomy. Can you play some sad classical music?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
602,I'm mourning what I lost. How do you legally change your name?,I'm mourning what I lost. How do you legally change your name?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
664,Feeling dejected and lost. How do you reset a GPS?,Feeling dejected and lost. How do you reset a GPS?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
609,Feeling hopeless about the future. What's the expiration date on this milk?,Feeling hopeless about the future. What's the expiration date on this milk?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
642,Feeling so discouraged. What's the average time it takes to learn a new language?,Feeling so discouraged. What's the average time it takes to learn a new language?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
596,I'm feeling incredibly blue. Can you find me information on adopting a pet?,I'm feeling incredibly blue. Can you find me information on adopting a pet?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
651,I'm grieving my pet. Where is the nearest pet cemetery?,I'm grieving my pet. Where is the nearest pet cemetery?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
585,This loneliness is crushing me. Are there any 24-hour diners nearby?,This loneliness is crushing me. Are there any 24-hour diners nearby?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
600,I'm really down about this. What's a distracting video game I can play?,I'm really down about this. What's a distracting video game I can play?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
624,Feeling very down. What's the phone number for my doctor's office?,Feeling very down. What's the phone number for my doctor's office?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
591,This dreary weather is making me feel even worse. Is it going to rain all week?,This dreary weather is making me feel even worse. Is it going to rain all week?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
659,I feel terribly alone. What day is it today?,I feel terribly alone. What day is it today?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
589,I'm so upset I can't think straight. What's the number for a taxi?,I'm so upset I can't think straight. What's the number for a taxi?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
622,This sadness is draining. How much caffeine is in this energy drink?,This sadness is draining. How much caffeine is in this energy drink?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
1191,I'm feeling miserable and just want to be alone; what's the quietest cafe around here?,I'm feeling miserable and just want to be alone; what's the quietest cafe around here?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
652,Feeling hopeless. What are the symptoms of a heart attack?,Feeling hopeless. What are the symptoms of a heart attack?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
637,I'm crushed by the failure. What are the steps to declare bankruptcy?,I'm crushed by the failure. What are the steps to declare bankruptcy?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
633,Feeling profoundly sad. Can you find a poem about sorrow?,Feeling profoundly sad. Can you find a poem about sorrow?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
1198,This loneliness is intense tonight; are there any late-night talk radio shows streaming?,This loneliness is intense tonight; are there any late-night talk radio shows streaming?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
598,I'm heartbroken for my friend. Where can I buy sympathy flowers?,I'm heartbroken for my friend. Where can I buy sympathy flowers?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
612,I feel heartbroken. Where's the nearest place to buy tissues?,I feel heartbroken. Where's the nearest place to buy tissues?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
627,I'm miserable. How do you turn off notifications on this app?,I'm miserable. How do you turn off notifications on this app?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
648,This isolation is getting to me. What are the visiting hours at the hospital?,This isolation is getting to me. What are the visiting hours at the hospital?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
610,I'm so upset about this mistake. How do I formally retract an email?,I'm so upset about this mistake. How do I formally retract an email?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
